热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.006287,300.021088,3612.538574,3615.357422,306.854004,306.851807,283.405304,283.398987,5.843100,5.828700,10.473200,10.479400,246.557602,246.009293,246.553604,246.020996,212.815506,212.814301,18.000000,18.000000,244.288696,243.703506,273.901703,273.742096,15.266000,5.402500,132.608398,357.839508,337.484985
915.007996,299.989288,3612.520020,3615.276611,306.853607,306.851807,283.405304,283.398895,5.842400,5.829400,10.473000,10.479600,246.568497,246.017303,246.577606,246.007004,212.815704,212.814499,18.000000,18.000000,244.241699,243.679092,273.894714,273.750488,15.265800,5.402500,132.526901,357.859100,337.484802
915.009277,300.017609,3612.536865,3615.188965,306.852600,306.851715,283.405212,283.398804,5.842900,5.828800,10.473100,10.479400,246.572296,246.007706,246.565704,246.015900,212.815399,212.814194,18.000000,18.000000,244.311996,243.739105,273.900513,273.743713,15.265800,5.402400,132.572601,357.887909,337.485504
915.003723,299.991791,3612.550293,3615.324219,306.853394,306.851715,283.405304,283.398895,5.843100,5.829300,10.473100,10.479500,246.557297,246.020493,246.556793,246.015305,212.815506,212.814301,18.000000,18.000000,244.345001,243.762604,273.902313,273.748901,15.266000,5.402400,132.581207,357.867188,337.485809
915.003723,300.016113,3612.529785,3615.388184,306.853790,306.851807,283.405487,283.398987,5.843000,5.829500,10.473100,10.479600,246.554596,246.006393,246.556305,246.003601,212.815399,212.814194,18.000000,18.000000,244.365707,243.795197,273.899689,273.751312,15.266000,5.402500,132.376694,357.839996,337.484985
915.004211,300.003113,3612.521973,3615.193359,306.853088,306.851715,283.405396,283.398987,5.842300,5.829300,10.473000,10.479500,246.579193,245.994904,246.584198,245.996902,212.815598,212.814407,18.000000,18.000000,244.238098,243.688599,273.895599,273.746613,15.265700,5.402500,132.309402,357.875000,337.485413
915.006226,300.002289,3612.538330,3615.250244,306.852905,306.851715,283.405396,283.398987,5.842900,5.829000,10.473100,10.479500,246.567596,246.018997,246.563004,246.020599,212.815598,212.814407,18.000000,18.000000,244.293900,243.715500,273.899811,273.747314,15.265900,5.402400,132.396698,357.877686,337.486115
915.007874,300.009613,3612.528076,3615.324951,306.853790,306.851807,283.405396,283.398987,5.842500,5.829400,10.472900,10.479600,246.571304,246.006104,246.576797,246.001999,212.815399,212.814194,18.000000,18.000000,244.306595,243.751907,273.895386,273.750214,15.266000,5.402500,132.275101,357.840912,337.485687
915.002319,299.996185,3612.520508,3615.253418,306.853607,306.851715,283.405304,283.398987,5.842800,5.829600,10.473100,10.479600,246.577896,245.996506,246.574295,245.995804,212.815506,212.814301,18.000000,18.000000,244.340897,243.787903,273.899506,273.752014,15.265800,5.402400,132.104904,357.866302,337.485291
915.003784,300.018188,3612.543457,3615.265869,306.853210,306.851715,283.405304,283.398987,5.843000,5.829000,10.473100,10.479400,246.566299,246.000198,246.562393,246.008194,212.815399,212.814194,18.000000,18.000000,244.319107,243.744507,273.900787,273.744110,15.265900,5.402400,132.160706,357.877594,337.486115
