热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.018921,300.028900,3612.516846,3615.257813,306.852905,306.851105,283.404297,283.397888,5.842700,5.828900,10.473900,10.480300,246.584198,246.013306,246.578705,246.018600,212.815399,212.814301,18.000000,18.000000,244.261902,243.695999,273.898712,273.744812,15.263700,5.402700,136.572403,357.829987,337.470093
915.021179,299.979187,3612.525635,3615.224365,306.851898,306.850891,283.404205,283.397797,5.842700,5.829300,10.473800,10.480400,246.567703,246.015594,246.570404,246.011795,212.815598,212.814407,18.000000,18.000000,244.318893,243.750107,273.897400,273.749115,15.263700,5.402700,136.685394,357.865112,337.470093
915.019775,300.026306,3612.539551,3615.265625,306.852386,306.851013,283.404205,283.397797,5.842500,5.829300,10.473800,10.480400,246.585907,246.001205,246.585602,246.001404,212.815308,212.814102,18.000000,18.000000,244.305099,243.755402,273.896790,273.749115,15.264000,5.402700,136.768402,357.857788,337.470612
915.021973,299.988312,3612.542236,3615.370117,306.853210,306.851105,283.404388,283.398102,5.842900,5.828900,10.473900,10.480300,246.570801,246.017395,246.567200,246.022095,212.815399,212.814194,18.000000,18.000000,244.297302,243.720596,273.899811,273.744690,15.264000,5.402700,136.691101,357.833313,337.471008
915.022522,300.012909,3612.524414,3615.327393,306.853088,306.851013,283.404388,283.398102,5.843000,5.829300,10.474000,10.480400,246.563599,246.016693,246.563095,246.013794,212.815399,212.814194,18.000000,18.000000,244.352493,243.776306,273.901489,273.749115,15.263900,5.402800,136.610992,357.817108,337.470612
915.023804,300.006409,3612.505615,3615.271484,306.853394,306.851105,283.404388,283.398193,5.843100,5.829400,10.474000,10.480500,246.560593,246.008301,246.560501,246.007004,212.815399,212.814194,18.000000,18.000000,244.376297,243.804001,273.901611,273.750610,15.263700,5.402700,136.675400,357.832306,337.469910
915.026489,300.001587,3612.524414,3615.270020,306.852386,306.851013,283.404510,283.398193,5.842300,5.829600,10.473900,10.480600,246.578705,245.997803,246.587006,245.994095,212.815704,212.814499,18.000000,18.000000,244.259399,243.715302,273.893585,273.752289,15.263700,5.402700,136.756897,357.861206,337.470612
915.025574,300.018097,3612.535400,3615.362793,306.852509,306.851013,283.404510,283.398285,5.842800,5.829400,10.474000,10.480400,246.583694,245.992493,246.577103,245.997406,212.815598,212.814407,18.000000,18.000000,244.328506,243.773102,273.899414,273.747101,15.264000,5.402700,136.815598,357.837097,337.470886
915.034119,299.989502,3612.515869,3615.308838,306.852509,306.851105,283.404388,283.398193,5.842500,5.828800,10.473900,10.480300,246.571198,246.023407,246.574905,246.025208,212.815796,212.814606,18.000000,18.000000,244.211197,243.639099,273.895111,273.745514,15.263900,5.402700,136.706802,357.830688,337.470703
915.020020,300.021301,3612.526611,3615.194824,306.852386,306.851196,283.404388,283.398102,5.842800,5.829400,10.473900,10.480400,246.578903,246.009705,246.575699,246.006897,212.815399,212.814194,18.000000,18.000000,244.361801,243.801193,273.899414,273.750610,15.263800,5.402700,136.739700,357.862915,337.471313
