热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.022217,299.985992,3612.537354,3615.271484,306.852203,306.851013,283.404205,283.398010,5.843000,5.829600,10.474100,10.480600,246.572495,245.994507,246.569901,245.994293,212.815796,212.814606,18.000000,18.000000,244.351898,243.798004,273.901306,273.753113,15.263900,5.402700,136.676804,357.855499,337.469788
915.017273,300.027313,3612.523438,3615.296631,306.853088,306.851105,283.404297,283.398102,5.843100,5.828700,10.474100,10.480300,246.558899,246.017303,246.555298,246.026901,212.815598,212.814407,18.000000,18.000000,244.300095,243.715805,273.902496,273.742615,15.263700,5.402800,136.550903,357.821686,337.469910
915.018188,299.994507,3612.522949,3615.251221,306.852295,306.851105,283.404388,283.398010,5.842800,5.829400,10.474000,10.480400,246.555206,246.022003,246.561493,246.014206,212.815796,212.814606,18.000000,18.000000,244.311203,243.727203,273.899994,273.749603,15.263700,5.402700,136.651001,357.852203,337.470001
915.018921,300.011200,3612.541016,3615.306641,306.852692,306.851105,283.404388,283.397888,5.842500,5.828900,10.473800,10.480300,246.584793,246.008408,246.584198,246.013306,212.815506,212.814301,18.000000,18.000000,244.233597,243.676300,273.895203,273.745087,15.264000,5.402700,136.751205,357.860504,337.470398
915.021179,300.005310,3612.522461,3615.322266,306.852692,306.851013,283.404388,283.397888,5.842800,5.829200,10.473900,10.480300,246.568100,246.019302,246.567703,246.015594,212.815506,212.814301,18.000000,18.000000,244.326202,243.751999,273.899689,273.748108,15.263800,5.402700,136.633896,357.822113,337.470398
915.019775,299.995087,3612.511963,3615.243164,306.853699,306.851013,283.404205,283.397888,5.842400,5.829400,10.473800,10.480400,246.581696,246.003998,246.585907,246.001205,212.815399,212.814194,18.000000,18.000000,244.288605,243.736404,273.894714,273.750214,15.263600,5.402700,136.595306,357.833893,337.469788
915.021973,300.020813,3612.524170,3615.225098,306.852203,306.851013,283.404205,283.397888,5.842800,5.828900,10.473900,10.480300,246.575302,246.011002,246.570801,246.017395,212.815308,212.814102,18.000000,18.000000,244.318207,243.751801,273.899200,273.744904,15.263800,5.402700,136.733994,357.862915,337.470215
915.022522,299.982513,3612.538086,3615.250244,306.852295,306.851013,283.404205,283.397888,5.843000,5.829200,10.474000,10.480400,246.564102,246.020493,246.563599,246.016693,212.815506,212.814301,18.000000,18.000000,244.317093,243.738297,273.901001,273.748108,15.264100,5.402600,136.802704,357.870697,337.470490
915.023804,300.029205,3612.541992,3615.308838,306.852509,306.851013,283.404388,283.398102,5.843100,5.829400,10.474000,10.480500,246.561600,246.009705,246.560593,246.008301,212.815308,212.814102,18.000000,18.000000,244.387604,243.813797,273.902496,273.750214,15.263900,5.402700,136.672501,357.846313,337.471405
915.026489,299.985107,3612.519287,3615.365234,306.853302,306.851013,283.404510,283.398285,5.842400,5.829600,10.473900,10.480600,246.569702,246.001694,246.578705,245.997803,212.815704,212.814499,18.000000,18.000000,244.278900,243.726196,273.894409,273.752014,15.263800,5.402700,136.615295,357.822296,337.470398
