热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.026489,300.001587,3612.524414,3615.270020,306.852386,306.851013,283.404510,283.398193,5.842300,5.829600,10.473900,10.480600,246.578705,245.997803,246.587006,245.994095,212.815704,212.814499,18.000000,18.000000,244.259399,243.715302,273.893585,273.752289,15.263700,5.402700,136.756897,357.861206,337.470612
915.025574,300.018097,3612.539307,3615.304199,306.852295,306.851013,283.404510,283.398285,5.842800,5.829400,10.474000,10.480400,246.583694,245.992493,246.577103,245.997406,212.815598,212.814407,18.000000,18.000000,244.335098,243.784500,273.899597,273.748688,15.264000,5.402700,136.815598,357.848297,337.471100
915.034119,299.989502,3612.518066,3615.277588,306.852600,306.851105,283.404510,283.398285,5.842500,5.828800,10.473900,10.480300,246.571198,246.023407,246.574905,246.025208,212.815796,212.814606,18.000000,18.000000,244.209503,243.635498,273.895203,273.744385,15.263900,5.402700,136.706802,357.826294,337.470886
915.020020,300.021301,3612.523682,3615.249756,306.852600,306.851196,283.404388,283.398102,5.842800,5.829400,10.473900,10.480400,246.578903,246.009705,246.575699,246.006897,212.815399,212.814194,18.000000,18.000000,244.350906,243.789993,273.899109,273.750214,15.263800,5.402700,136.739700,357.859711,337.470886
915.015930,299.986603,3612.540283,3615.331787,306.852814,306.851410,283.404388,283.398102,5.843000,5.829600,10.474000,10.480400,246.569702,246.001205,246.568604,246.000000,212.815598,212.814407,18.000000,18.000000,244.362000,243.801407,273.901001,273.752106,15.264100,5.402700,136.809799,357.842285,337.471497
915.022278,300.029205,3612.518799,3615.270264,306.852814,306.851288,283.404510,283.398193,5.843100,5.829500,10.474000,10.480400,246.566101,245.996307,246.563904,245.997803,212.815399,212.814194,18.000000,18.000000,244.373901,243.811005,273.902313,273.750305,15.264000,5.402700,136.708298,357.826996,337.471191
915.013977,299.991394,3612.514404,3615.145508,306.852692,306.851105,283.404388,283.398102,5.842400,5.828700,10.473800,10.480200,246.565201,246.023605,246.572006,246.027603,212.815704,212.814499,18.000000,18.000000,244.184799,243.606598,273.894287,273.742706,15.263900,5.402700,136.752594,357.867706,337.471588
915.009216,300.012909,3612.541260,3615.312500,306.852203,306.851105,283.404510,283.398285,5.842900,5.829400,10.473900,10.480400,246.581207,246.011597,246.575806,246.007202,212.815598,212.814407,18.000000,18.000000,244.327194,243.765900,273.900299,273.750397,15.264100,5.402700,136.845596,357.858795,337.471802
915.017883,300.001007,3612.523926,3615.304932,306.852600,306.851105,283.404510,283.398102,5.843000,5.829300,10.473900,10.480300,246.565598,246.002594,246.563995,246.005096,212.815506,212.814301,18.000000,18.000000,244.372498,243.804794,273.900787,273.748413,15.264100,5.402700,136.744003,357.826996,337.472107
915.021729,300.009003,3612.514893,3615.185303,306.852692,306.851105,283.404388,283.398193,5.842300,5.828900,10.473800,10.480300,246.574005,246.020493,246.579605,246.021301,212.815506,212.814301,18.000000,18.000000,244.209702,243.641098,273.894287,273.745087,15.263800,5.402700,136.709702,357.856110,337.472412
915.022278,300.002411,3612.537109,3615.271240,306.852203,306.851013,283.404388,283.398102,5.842900,5.829400,10.473900,10.480300,246.576004,246.009094,246.572006,246.006897,212.815399,212.814194,18.000000,18.000000,244.355194,243.792007,273.900299,273.750214,15.264100,5.402700,136.821304,357.857208,337.472687
915.021729,300.002106,3612.522217,3615.308838,306.852509,306.851105,283.404388,283.398193,5.843000,5.829600,10.473900,10.480400,246.567001,246.002197,246.565903,246.000702,212.815399,212.814194,18.000000,18.000000,244.370499,243.807693,273.901093,273.752289,15.264200,5.402700,136.752594,357.834198,337.472504
915.020386,300.017700,3612.510986,3615.217041,306.853088,306.851196,283.404602,283.398407,5.842400,5.829700,10.473800,10.480400,246.574493,245.994202,246.582199,245.990707,212.815399,212.814194,18.000000,18.000000,244.291397,243.748901,273.894012,273.750885,15.264100,5.402700,136.733994,357.846985,337.471985
915.019287,299.993011,3612.530762,3615.242432,306.852600,306.851105,283.404510,283.398407,5.842800,5.828700,10.473900,10.480200,246.582703,246.012299,246.574799,246.022903,212.815598,212.814499,18.000000,18.000000,244.226898,243.652100,273.899414,273.743011,15.264000,5.402600,136.776901,357.864288,337.472687
915.015991,300.015411,3612.542969,3615.367432,306.852600,306.851196,283.404388,283.398285,5.843000,5.829400,10.473900,10.480300,246.564896,246.019196,246.564697,246.012695,212.815506,212.814301,18.000000,18.000000,244.374207,243.800705,273.901611,273.750092,15.264300,5.402700,136.801300,357.842712,337.472809
915.021423,299.995209,3612.532471,3615.347412,306.853790,306.851196,283.404510,283.398285,5.842700,5.829600,10.473800,10.480400,246.564407,246.003601,246.569199,246.000107,212.815598,212.814407,18.000000,18.000000,244.330399,243.773102,273.896393,273.752014,15.264400,5.402700,136.752594,357.822601,337.472992
915.023682,300.019012,3612.519043,3615.301758,306.853088,306.851105,283.404510,283.398193,5.842500,5.829500,10.473800,10.480300,246.589493,245.990997,246.589005,245.991898,212.815506,212.814301,18.000000,18.000000,244.290497,243.747299,273.897705,273.748810,15.264100,5.402700,136.648193,357.831787,337.472504
915.024475,299.994598,3612.514404,3615.203857,306.853302,306.851105,283.404388,283.398193,5.842900,5.828800,10.473900,10.480200,246.568893,246.019897,246.564194,246.026596,212.815598,212.814407,18.000000,18.000000,244.270798,243.687500,273.900513,273.744995,15.264000,5.402700,136.682495,357.863098,337.472504
915.021423,300.011688,3612.538330,3615.312988,306.852692,306.851196,283.404510,283.398285,5.843100,5.829400,10.473900,10.480300,246.560806,246.014297,246.559692,246.009903,212.815506,212.814301,18.000000,18.000000,244.386200,243.810898,273.903015,273.750793,15.264200,5.402600,136.779800,357.861206,337.473297
915.021973,300.005798,3612.522217,3615.276611,306.852814,306.851196,283.404510,283.398193,5.843300,5.829500,10.474000,10.480300,246.557693,246.003494,246.556198,246.003296,212.815598,212.814407,18.000000,18.000000,244.378494,243.804092,273.904114,273.750000,15.264400,5.402700,136.733994,357.825592,337.473297
915.020508,300.009796,3612.518066,3615.161377,306.852386,306.851105,283.404510,283.398193,5.842300,5.828800,10.473700,10.480200,246.564102,246.016006,246.574493,246.020203,212.815704,212.814499,18.000000,18.000000,244.173599,243.604401,273.892212,273.743591,15.264100,5.402600,136.662506,357.868500,337.473602
915.019714,300.003815,3612.535889,3615.270752,306.852692,306.851288,283.404694,283.398285,5.842900,5.829400,10.473800,10.480300,246.584793,246.012802,246.578201,246.008606,212.815598,212.814407,18.000000,18.000000,244.329895,243.768402,273.900787,273.750092,15.264300,5.402600,136.778397,357.859985,337.473785
915.021179,300.000214,3612.531250,3615.331543,306.853210,306.851288,283.404602,283.398193,5.842600,5.829400,10.473700,10.480200,246.569794,246.002396,246.574600,246.001007,212.815598,212.814407,18.000000,18.000000,244.313202,243.757599,273.894989,273.748688,15.264500,5.402700,136.765503,357.831390,337.473785
915.025330,300.015503,3612.520020,3615.275635,306.852814,306.851288,283.404510,283.398285,5.842600,5.828900,10.473800,10.480100,246.583298,246.013306,246.578796,246.018997,212.815308,212.814102,18.000000,18.000000,244.265396,243.696701,273.898712,273.745300,15.264300,5.402700,136.633896,357.843109,337.473602
915.019470,299.988800,3612.533447,3615.262695,306.852509,306.851288,283.404510,283.398285,5.842900,5.829300,10.473800,10.480200,246.568695,246.013596,246.567596,246.010498,212.815399,212.814194,18.000000,18.000000,244.347397,243.778107,273.900604,273.749603,15.264200,5.402600,136.739700,357.860687,337.474304
915.017212,300.022888,3612.529297,3615.330078,306.852997,306.851410,283.404602,283.398407,5.843100,5.829500,10.473900,10.480300,246.562607,246.005997,246.561005,246.004898,212.815201,212.814102,18.000000,18.000000,244.390396,243.820007,273.902802,273.751312,15.264600,5.402700,136.751205,357.834015,337.474213
915.017029,299.993286,3612.514648,3615.323486,306.853394,306.851410,283.404694,283.398407,5.843100,5.829200,10.473900,10.480200,246.557800,246.003906,246.556305,246.008102,212.815598,212.814407,18.000000,18.000000,244.320007,243.742706,273.900604,273.746002,15.264500,5.402700,136.639603,357.827087,337.473694
915.017090,300.020813,3612.514160,3615.230713,306.853088,306.851196,283.404694,283.398285,5.842300,5.829000,10.473700,10.480200,246.574997,246.022003,246.582794,246.020004,212.815506,212.814301,18.000000,18.000000,244.200806,243.637497,273.894592,273.747314,15.264300,5.402600,136.589493,357.855591,337.473602
915.010925,299.988495,3612.533203,3615.221191,306.852509,306.851288,283.404694,283.398285,5.843000,5.829300,10.473800,10.480200,246.574905,246.007095,246.569107,246.007095,212.815598,212.814407,18.000000,18.000000,244.352005,243.785095,273.900391,273.747986,15.264200,5.402600,136.685394,357.870697,337.474701
