热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
587.494629,180.714096,3620.188965,3624.098877,298.613312,298.608612,283.331085,283.202087,6.049200,6.063500,10.455500,10.455500,151.913193,152.779404,151.893997,152.764801,188.982605,188.982803,18.000000,18.000000,148.515396,149.389206,276.158295,276.313110,15.403400,4.935700,0.000000,357.751404,335.495209
587.511230,180.715698,3620.193115,3624.041260,298.612213,298.607697,283.329590,283.200592,6.048800,6.063400,10.455600,10.455600,151.792297,152.666199,151.807007,152.678497,188.983597,188.983795,18.000000,18.000000,148.380798,149.247803,276.155914,276.313904,15.402800,4.935400,0.000000,357.775696,335.493408
587.521729,180.710007,3620.214600,3624.048828,298.609711,298.606598,283.328308,283.199310,6.049100,6.063700,10.455700,10.455800,151.937393,152.809998,151.942596,152.814102,188.984299,188.984497,18.000000,18.000000,148.596893,149.470398,276.157898,276.315796,15.402500,4.935200,0.000000,357.783203,335.492798
587.533630,180.728302,3620.220215,3624.130371,298.609985,298.605408,283.326996,283.197998,6.048300,6.062800,10.455700,10.455700,151.847107,152.716904,151.811798,152.682297,188.985306,188.985504,18.000000,18.000000,148.316895,149.189896,276.149597,276.306610,15.402100,4.935100,0.000000,357.749908,335.490814
587.549927,180.721298,3620.219727,3624.094727,298.608887,298.604401,283.325714,283.196808,6.048800,6.063300,10.455900,10.455900,151.882507,152.756195,151.928497,152.802200,188.986694,188.987000,18.000000,18.000000,148.574097,149.444504,276.155396,276.312714,15.401400,4.934900,0.000000,357.747986,335.488892
587.568298,180.723694,3620.224609,3624.083252,298.607208,298.603302,283.324493,283.195404,6.048100,6.062900,10.455800,10.455900,151.922806,152.784195,151.889999,152.749496,188.987701,188.987900,18.000000,18.000000,148.427505,149.311493,276.146912,276.307007,15.400900,4.934700,0.000000,357.757385,335.487000
587.581116,180.719604,3620.241455,3624.090576,298.606415,298.602386,283.323212,283.194305,6.048500,6.062700,10.456100,10.456100,151.844406,152.717896,151.872192,152.748093,188.989395,188.989594,18.000000,18.000000,148.469498,149.337006,276.151794,276.306610,15.400500,4.934500,0.000000,357.763214,335.486206
587.595093,180.719299,3620.253662,3624.178955,298.605896,298.601410,283.321991,283.192993,6.048700,6.063000,10.456300,10.456300,151.940002,152.816696,151.940094,152.817596,188.990601,188.990799,18.000000,18.000000,148.606796,149.472000,276.153412,276.309204,15.400200,4.934300,0.000000,357.727997,335.484802
587.605103,180.722107,3620.253906,3624.158447,298.605713,298.600494,283.320709,283.191711,6.047700,6.062200,10.456200,10.456200,151.882095,152.757004,151.836105,152.708603,188.992096,188.992294,18.000000,18.000000,148.364304,149.231705,276.142487,276.300110,15.399600,4.934200,0.000000,357.721985,335.483185
587.621887,180.716202,3620.263184,3624.125244,298.603394,298.599487,283.319214,283.190308,6.048100,6.062600,10.456400,10.456400,151.823898,152.692795,151.878204,152.747406,188.994202,188.994507,18.000000,18.000000,148.510406,149.382797,276.148102,276.304993,15.399000,4.934000,0.000000,357.740387,335.481812
587.631470,180.716705,3620.284668,3624.250488,298.603088,298.598785,283.317902,283.188995,6.048300,6.062700,10.456600,10.456600,151.953003,152.822403,151.946503,152.816101,188.995499,188.995697,18.000000,18.000000,148.619293,149.490005,276.149414,276.304993,15.398700,4.933800,0.000000,357.723114,335.480194
587.637817,180.719193,3620.277100,3624.149414,298.602509,298.597809,283.316589,283.187592,6.048300,6.061600,10.456800,10.456500,151.860596,152.759705,151.828400,152.736496,188.997101,188.997406,18.000000,18.000000,148.457108,149.288300,276.148712,276.294495,15.398100,4.933700,0.000000,357.709991,335.478485
587.655029,180.716400,3620.285400,3624.163574,298.601105,298.596802,283.315186,283.186188,6.047100,6.062300,10.456500,10.456800,151.821304,152.700394,151.836197,152.700897,188.999298,188.999496,18.000000,18.000000,148.420395,149.286102,276.136414,276.301514,15.397600,4.933400,0.000000,357.720886,335.476990
587.666809,180.713303,3620.297119,3624.198730,298.600189,298.595703,283.313812,283.184906,6.047700,6.062400,10.456700,10.456900,151.907394,152.756500,151.933502,152.781693,189.001205,189.001404,18.000000,18.000000,148.579193,149.474701,276.142609,276.302795,15.397200,4.933300,0.000000,357.714111,335.475494
587.677612,180.715607,3620.314209,3624.256836,298.599304,298.594696,283.312286,283.183502,6.047000,6.061900,10.456600,10.456800,151.922104,152.759293,151.888901,152.725998,189.002808,189.003006,18.000000,18.000000,148.432999,149.328903,276.134796,276.295410,15.396800,4.933100,0.000000,357.704895,335.473999
587.693176,180.712402,3620.320068,3624.246826,298.598389,298.593597,283.310913,283.182312,6.047300,6.061500,10.456800,10.456800,151.815308,152.673401,151.842896,152.705505,189.005005,189.005203,18.000000,18.000000,148.430603,149.299606,276.139099,276.293793,15.396300,4.932900,0.000000,357.700989,335.472504
587.708008,180.710693,3620.327393,3624.201416,298.597198,298.592590,283.309601,283.180908,6.047500,6.061700,10.457000,10.456900,151.953995,152.818207,151.950806,152.820801,189.006607,189.006805,18.000000,18.000000,148.590897,149.454498,276.140289,276.292389,15.395800,4.932700,0.000000,357.694611,335.471008
