热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
587.273926,180.878006,3619.858887,3623.799072,298.651703,298.647186,283.377899,283.249695,6.053600,6.068400,10.454300,10.454500,150.294495,151.158401,150.321106,151.175003,189.031906,189.032104,18.000000,18.000000,148.358902,149.221603,276.206207,276.367889,15.417400,4.944400,222.633408,357.859406,335.528900
587.264893,180.873505,3619.858887,3623.662598,298.650085,298.646606,283.377411,283.249298,6.053900,6.068100,10.454300,10.454300,150.396500,151.244705,150.415695,151.269608,189.029495,189.029800,18.000000,18.000000,148.407196,149.276398,276.210785,276.363190,15.417200,4.944200,217.071503,357.892609,335.529510
587.257507,180.870300,3619.881348,3623.810303,298.649689,298.646210,283.377106,283.248993,6.054100,6.068200,10.454400,10.454300,150.443207,151.310699,150.462708,151.331406,189.026993,189.027206,18.000000,18.000000,148.455795,149.303299,276.212402,276.365814,15.417200,4.944100,211.668503,357.889496,335.530396
587.244385,180.868393,3619.862061,3623.746338,298.649506,298.645599,283.376801,283.248596,6.053500,6.068400,10.454100,10.454400,150.510696,151.367996,150.510605,151.358002,189.024399,189.024704,18.000000,18.000000,148.377899,149.251099,276.204590,276.367798,15.417300,4.944000,206.145294,357.868286,335.530304
587.238281,180.864395,3619.877441,3623.755371,298.648590,298.645111,283.376404,283.248199,6.053700,6.068600,10.454200,10.454400,150.542007,151.371994,150.572906,151.402802,189.022202,189.022400,18.000000,18.000000,148.453903,149.347702,276.209290,276.368988,15.417000,4.943700,200.587799,357.900787,335.530609
587.232727,180.862503,3619.885986,3623.799805,298.648712,298.644714,283.376007,283.247894,6.053900,6.067800,10.454300,10.454100,150.610504,151.455002,150.593796,151.450104,189.019699,189.020004,18.000000,18.000000,148.379898,149.238998,276.210907,276.359406,15.417200,4.943600,195.210495,357.873993,335.531189
587.227783,180.850494,3619.875488,3623.830811,298.649109,298.644104,283.375610,283.247406,6.054000,6.068100,10.454300,10.454200,150.589005,151.465805,150.620895,151.497101,189.017700,189.017899,18.000000,18.000000,148.468307,149.306702,276.212097,276.365204,15.417100,4.943500,189.625702,357.867096,335.530487
587.225403,180.853394,3619.868896,3623.748535,298.647888,298.643402,283.375214,283.246796,6.053600,6.068300,10.454100,10.454300,150.696396,151.569107,150.698303,151.561295,189.015305,189.015503,18.000000,18.000000,148.432495,149.293793,276.204712,276.366791,15.416900,4.943300,184.146896,357.883209,335.529907
587.225586,180.858398,3619.888672,3623.728760,298.646393,298.642792,283.374603,283.246185,6.053200,6.068400,10.454100,10.454300,150.687302,151.513504,150.706894,151.529694,189.013306,189.013504,18.000000,18.000000,148.375305,149.278503,276.204987,276.365509,15.416800,4.943100,178.723801,357.909698,335.531006
587.222473,180.843994,3619.908447,3623.749756,298.645294,298.642303,283.373993,283.245697,6.053700,6.067500,10.454200,10.454000,150.759399,151.609604,150.752808,151.613693,189.011200,189.011398,18.000000,18.000000,148.373093,149.227905,276.208588,276.357391,15.416800,4.942900,173.372299,357.904907,335.532288
